"bg";"cn";"cz";"de";"default";"dk";"en";"es";"fi";"fr";"gr";"hr";"hu";"ir";"it";"jp";"nl";"no";"pl";"pt";"ro";"rs";"ru";"se";"sk";"sl";"tr"
"label_layoutGeneratorToolPath";"Изпълним инструмент за генериране на оформление";"布局生成器工具可执行";"Spustitelný nástroj pro generování rozvržení";"Layoutgenerator-Tool ausführbar";"Layout Generator Tool executable";"Layoutgenerator-værktøj kan køres";"Layout Generator Tool executable";"Ejecutable de la herramienta Layoutgenerator";"Layoutgenerator-työkalu suoritettavissa";"Exécutable de l'outil Layoutgenerator";"Εκτελέσιμο εργαλείο δημιουργίας διάταξης";"Izvršna datoteka generatora rasporeda";"Elindítható elrendezés-generátor eszköz";"Infheidhmithe gineadóra leagan amach";"Eseguibile dello strumento Layoutgenerator";"レイアウトジェネレータツール実行可能";"Layoutgenerator-tool uitvoerbaar";"Layoutgenerator-verktøy kjørbart";"Narzędzie do generowania układu gotowe do uruchomienia";"Ferramenta geradora de layout executável";"Instrument de generare a layout-ului executabil";"Извршна датотека генератора распореда";"Исполняемый файл инструмента генератора макета";"Layoutgenerator-verktyg körbart";"Spustiteľný nástroj na generovanie rozloženia";"Izvedljivo orodje za ustvarjanje postavitve";"Layoutgenerator aracı yürütülebilir dosyası"
"label_liveryName";"Име на боята";"涂装名称";"Název lakování";"Name der Lackierung";"Livery name";"Navn på bemaling";"Livery name";"Nombre de la librea";"Maalauksen nimi";"Nom de la livrée";"Όνομα βαφής";"Naziv liveryja";"Festés neve";"Ainm an chulaith";"Nome livrea";"塗装名";"Naam van de livery";"Navn på lakkering";"Nazwa schematu malowania";"Nome da pintura";"Numele schemei de vopsire";"Име ливерија";"Название окраски";"Namn på lackeringen";"Názov lakovania";"Ime barve";"Livery adı"
"label_locale";"Език";"语言";"Jazyk";"Sprache";"Language";"Sprog";"Language";"Idioma";"Kieli";"Langue";"Γλώσσα";"Jezik";"Nyelv";"Teanga";"Lingua";"言語";"Taal";"Språk";"Język";"Idioma";"Limba";"Језик";"Язык";"Språk";"Jazyk";"Jezik";"Dil"
"label_mainLibraryRootFolder";"Коренна папка на библиотеката";"库根目录";"Kořenová složka knihovny";"Root Ordner der Bibliothek";"Library root folder";"Bibliotekets rodmappe";"Library root folder";"Directorio raíz de la biblioteca principal";"Kirjaston juurikansio";"Répertoire racine de la bibliothèque principale";"Ριζικός φάκελος της βιβλιοθήκης";"Korisnički direktorij biblioteke";"A könyvtár gyökérkönyvtára";"Fólder fréimhe na leabharlainne";"Directory principale della libreria";"ライブラリのルートフォルダ";"Hoofdmap van de bibliotheek";"Rotmappe for biblioteket";"Katalog główny biblioteki";"Pasta raiz da biblioteca";"Directorul rădăcină al bibliotecii";"Коренски фолдер библиотеке";"Корневой каталог библиотеки";"Rotmapp för biblioteket";"Koreňový priečinok knižnice";"Korenjska mapa knjižnice";"Ana kütüphane kök dizini"
"label_modelTexturesDir";"Коренна папка на текстурите на модела";"模型纹理根目录";"Kořenová složka textur modelu";"Root Ordner der Modelltexturen";"Model textures root folder";"Modelteksturernes rodmappe";"Model textures root folder";"Directorio de texturas del modelo";"Mallitekstuurien juurikansio";"Répertoire des textures du modèle";"Ριζικός φάκελος των υφών μοντέλου";"Korisnički direktorij tekstura modela";"A modelltextúrák gyökérkönyvtára";"Fólder fréimhe uigeachtaí an mhúnla";"Directory delle texture del modello";"モデルテクスチャのルートフォルダ";"Hoofdmap van de modeltexturen";"Rotmappe for modellteksturer";"Katalog główny tekstur modelu";"Pasta raiz das texturas do modelo";"Directorul rădăcină al texturilor modelului";"Коренски фолдер текстура модела";"Корневой каталог текстур модели";"Rotmapp för modelltexturer";"Koreňový priečinok textúr modelu";"Korenjska mapa tekstur modela";"Model doku dizini"
"label_nvidiaTextureToolPath";"Изпълним инструмент за текстури на NVIDIA";"NVIDIA 纹理工具可执行";"Spustitelný nástroj pro textury NVIDIA";"NVIDIA Textur-Tool ausführbar";"NVIDIA Texture Tool executable";"NVIDIA-teksturværktøj kan køres";"NVIDIA Texture Tool executable";"Ejecutable de NVIDIA TextureTool";"NVIDIA-tekstuurityökalu suoritettavissa";"Exécutable de l'outil de texture NVIDIA";"Εκτελέσιμο εργαλείο υφών NVIDIA";"Izvršna datoteka NVIDIA alata za teksture";"Elindítható NVIDIA textúra-eszköz";"Infheidhmithe uirlise uigeachta NVIDIA";"Eseguibile di NVIDIA TextureTool";"NVIDIAテクスチャツール実行可能";"NVIDIA-textuurtool uitvoerbaar";"NVIDIA teksturverktøy kjørbart";"Narzędzie do tekstur NVIDIA gotowe do uruchomienia";"Ferramenta de texturas NVIDIA executável";"Instrument de texturi NVIDIA executabil";"Извршна датотека NVIDIA алата за текстуре";"Исполняемый файл инструмента текстур NVIDIA";"NVIDIA Textur-verktyg körbart";"Spustiteľný nástroj na textúry NVIDIA";"Izvedljivo orodje za teksture NVIDIA";"NVIDIA texturetool yürütülebilir dosyası"
"label_packageDir";"Директория на пакета";"包目录";"Adresář balíčku";"Paketverzeichnis";"Package directory";"Pakkemappe";"Package directory";"Directorio del paquete";"Pakettikansio";"Répertoire du paquet";"Κατάλογος πακέτου";"Direktorij paketa";"Csomagkönyvtár";"Eolaire an phacáiste";"Directory del pacchetto";"パッケージディレクトリ";"Pakketmap";"Pakkemappe";"Katalog pakietu";"Diretório do pacote";"Directorul pachetului";"Директоријум пакета";"Каталог пакета";"Paketkatalog";"Adresár balíka";"Mapa paketa";"Paket dizini"
"label_packageTextureDir";"Директория на текстурите на пакета";"包纹理目录";"Adresář textur balíčku";"Paket-Texturverzeichnis";"Package textures directory";"Pakketeksturmappe";"Package textures directory";"Directorio de texturas del paquete";"Paketin tekstuurikansio";"Répertoire des textures du paquet";"Κατάλογος υφών πακέτου";"Direktorij tekstura paketa";"Csomag-textúra könyvtár";"Eolaire uigeachtaí an phacáiste";"Directory texture pacchetto";"パッケージテクスチャディレクトリ";"Pakket-textuurmap";"Pakketeksturmappe";"Katalog tekstur pakietu";"Diretório de texturas do pacote";"Directorul de texturi al pachetului";"Директоријум текстура пакета";"Каталог текстур пакета";"Paket-texturkatalog";"Adresár textúr balíka";"Mapa tekstur paketa";"Paket doku dizini"
"label_projectRootFolder";"Коренна директория на проекта";"项目根目录";"Kořenový adresář projektu";"Projekt-Stammverzeichnis";"Project root directory";"Projektets rodmappe";"Project root directory";"Directorio raíz del proyecto";"Projektin juurikansio";"Répertoire racine du projet";"Ριζικός κατάλογος έργου";"Korisnički direktorij projekta";"Projekt gyökérkönyvtár";"Eolaire fréimhe an tionscadail";"Directory principale del progetto";"プロジェクトルートディレクトリ";"Hoofdmap van het project";"Prosjektrotmappe";"Katalog główny projektu";"Diretório raiz do projeto";"Directorul rădăcină al proiectului";"Коренски директоријум пројекта";"Корневой каталог проекта";"Projektets rotkatalog";"Koreňový adresár projektu";"Korenjska mapa projekta";"Proje kök dizini"
"label_sdkRoot";"Коренна директория на MSFS SDK";"MSFS SDK 根目录";"Kořenový adresář MSFS SDK";"MSFS SDK-Stammverzeichnis";"MSFS SDK root directory";"MSFS SDK-rodmappe";"MSFS SDK root directory";"Directorio raíz del SDK de MSFS";"MSFS SDK:n juurikansio";"Répertoire racine du SDK MSFS";"Ριζικός κατάλογος MSFS SDK";"Korisnički direktorij MSFS SDK-a";"MSFS SDK gyökérkönyvtár";"Eolaire fréimhe SDK MSFS";"Directory principale MSFS SDK";"MSFS SDKルートディレクトリ";"Hoofdmap van de MSFS SDK";"MSFS SDK-rotmappe";"Katalog główny MSFS SDK";"Diretório raiz do MSFS SDK";"Directorul rădăcină al MSFS SDK";"Коренски директоријум MSFS SDK";"Корневой каталог MSFS SDK";"MSFS SDK-rotkatalog";"Koreňový adresár MSFS SDK";"Korenjska mapa MSFS SDK";"MSFS SDK kök dizini"
"label_simType";"Тип симулация";"模拟类型";"Typ simulace";"Simulationstyp";"Simulation type";"Simulationstype";"Simulation type";"Tipo de simulación";"Simulaatiotyyppi";"Type de simulation";"Τύπος προσομοίωσης";"Vrsta simulacije";"Szimulációtípus";"Cineál insamhalta";"Tipo di simulazione";"シミュレーションタイプ";"Simulatietype";"Simuleringstype";"Typ symulacji";"Tipo de simulação";"Tipul de simulare";"Тип симулације";"Тип симуляции";"Simuleringstyp";"Typ simulácie";"Vrsta simulacije";"Simülasyon türü"
"label_textureFormat";"Формат на текстурата";"纹理格式";"Formát textury";"Texturformat";"Texture format";"Teksturformat";"Texture format";"Formato de textura";"Tekstuuriformaatti";"Format de texture";"Μορφή υφής";"Format teksture";"Textúraformátum";"Formáid uigeachta";"Formato texture";"テクスチャ形式";"Textuurformaat";"Teksturformat";"Format tekstury";"Formato de textura";"Formatul texturii";"Формат текстуре";"Формат текстур";"Texturformat";"Formát textúry";"Format teksture";"Doku biçimi"
"label_textureTypes";"Типове текстури";"纹理类型";"Typy textur";"Texturtypen";"Texture types";"Teksturtyper";"Texture types";"Tipos de textura";"Tekstuurityypit";"Types de textures";"Τύποι υφών";"Vrste tekstura";"Textúratípusok";"Cineálacha uigeachta";"Tipi di texture";"テクスチャタイプ";"Textuurtypes";"Teksturtyper";"Typy tekstur";"Tipos de textura";"Tipuri de texturi";"Типови текстура";"Типы текстур";"Texturtyper";"Typy textúr";"Vrste tekstur";"Doku türleri"
"language_bg";"Български";"保加利亚语";"Bulharština";"Bulgarisch";"Bulgarian";"Bulgarsk";"Bulgarian";"Bulgarian";"bulgaria";"Bulgarian";"Βουλγαρικά";"Bugarski";"Bolgár";"Bulgáiris";"Bulgarian";"ブルガリア語";"Bulgaars";"Bulgarsk";"Bułgarski";"Búlgaro";"Bulgară";"Бугарски";"Болгарский";"Bulgariska";"Bulharčina";"Bolgarščina";"Bulgarian"
"language_cn";"Китайски";"中文";"Čínština";"Chinesisch";"Chinese";"Kinesisk";"Chinese";"Chino";"kiina";"Chinois";"Κινέζικα";"Kineski";"kínai";"Sínis";"Cinese";"中国語";"Chinees";"Kinesisk";"Chiński";"Chinês";"Chineză";"Кинески";"Китайский";"Kinesiska";"Čínština";"Kitajščina";"Çince"
"language_cz";"Чешки";"捷克语";"Čeština";"Tschechisch";"Czech";"Tjekkisk";"Czech";"Czech";"tšekki";"Czech";"Τσεχικά";"Češki";"Cseh";"Seicis";"Czech";"チェコ語";"Tsjechisch";"Tsjekkisk";"Czeski";"Checo";"Cehă";"Чешки";"Чешский";"Tjeckiska";"Čeština";"Češčina";"Czech"
"language_de";"Немски";"德语";"Němčina";"Deutsch";"German";"Tysk";"German";"Alemán";"saksa";"Allemand";"Γερμανικά";"Njemački";"Német";"Gearmáinis";"Tedesco";"ドイツ語";"Duits";"Tysk";"Niemiecki";"Alemão";"Germană";"Немачки";"Немецкий";"Tyska";"Nemčina";"Nemščina";"Almanca"
"language_dk";"Датски";"丹麦语";"Dánština";"Dänisch";"Danish";"Dansk";"Danish";"Danish";"tanska";"Danish";"Δανικά";"Danski";"Dán";"Danmhairgis";"Danish";"デンマーク語";"Deens";"Dansk";"Duński";"Dinamarquês";"Daneză";"Дански";"Датский";"Danska";"Dánčina";"Danska";"Danish"
"language_en";"Английски";"英语";"Angličtina";"Englisch";"English";"Engelsk";"English";"Inglés";"englanti";"Anglais";"Αγγλικά";"Engleski";"Angol";"Béarla";"Inglese";"英語";"Engels";"Engelsk";"Angielski";"Inglês";"Engleză";"Енглески";"Английский";"Engelska";"Angličtina";"Angleščina";"İngilizce"
"language_es";"Испански";"西班牙语";"Španělština";"Spanisch";"Spanish";"Spansk";"Spanish";"Español";"espanja";"Spanish";"Ισπανικά";"Španjolski";"Spanyol";"Spáinnis";"Spagnolo";"スペイン語";"Spaans";"Spansk";"Hiszpański";"Espanhol";"Spaniolă";"Шпански";"Испанский";"Spanska";"Španielčina";"Španščina";"İspanyolca"
"language_fi";"Фински";"芬兰语";"Finština";"Finnisch";"Finnish";"Finsk";"Finnish";"Finnish";"suomi";"Finnish";"Φινλανδικά";"Finski";"Finn";"Fionlainnis";"Finnish";"フィンランド語";"Fins";"Finsk";"Fiński";"Finlandês";"Finlandeză";"Фински";"Финский";"Finska";"Fínčina";"Finska";"Finnish"
"language_fr";"Френски";"法语";"Francouzština";"Französisch";"French";"Fransk";"French";"Francés";"ranska";"French";"Γαλλικά";"Francuski";"Francia";"Fraincis";"Francese";"フランス語";"Frans";"Fransk";"Francuski";"Francês";"Franceză";"Француски";"Французский";"Franska";"Francúzština";"Francoščina";"Fransızca"
"language_gr";"Гръцки";"希腊语";"Řečtina";"Griechisch";"Greek";"Græsk";"Greek";"Greek";"kreikka";"Greek";"Ελληνικά";"Grčki";"Görög";"Gréigis";"Greek";"ギリシャ語";"Grieks";"Gresk";"Grecki";"Grego";"Greacă";"Грчки";"Греческий";"Grekiska";"Gréčtina";"Grščina";"Greek"
"language_hr";"Хърватски";"克罗地亚语";"Chorvatština";"Kroatisch";"Croatian";"Kroatisk";"Croatian";"Croatian";"kroatia";"Croatian";"Κροατικά";"Hrvatski";"Horvát";"Cróitis";"Croatian";"クロアチア語";"Kroatisch";"Kroatisk";"Chorwacki";"Croata";"Croată";"Хрватски";"Хорватский";"Kroatiska";"Chorvátčina";"Hrvaščina";"Croatian"
"language_hu";"Унгарски";"匈牙利语";"Maďarština";"Ungarisch";"Hungarian";"Ungarsk";"Hungarian";"Hungarian";"unkari";"Hungarian";"Ουγγρικά";"Mađarski";"Magyar";"Ungáiris";"Hungarian";"ハンガリー語";"Hongaars";"Ungarsk";"Węgierski";"Húngaro";"Maghiară";"Мађарски";"Венгерский";"Ungerska";"Maďarčina";"Madžarščina";"Hungarian"
"language_ir";"Ирландски";"爱尔兰语";"Irština";"Irisch";"Irish";"Irsk";"Irish";"Irish";"irlanti";"Irish";"Ιρλανδικά";"Irski";"Ír";"Gaeilge";"Irish";"アイルランド語";"Iers";"Irsk";"Irlandzki";"Irlandês";"Irlandeză";"Ирски";"Ирландский";"Iriska";"Írčina";"Irščina";"Irish"
"language_it";"Италиански";"意大利语";"Italština";"Italienisch";"Italian";"Italiensk";"Italian";"Italiano";"italia";"Italian";"Ιταλικά";"Talijanski";"Olasz";"Iodáilis";"Italiano";"イタリア語";"Italiaans";"Italiensk";"Włoski";"Italiano";"Italiană";"Италијански";"Итальянский";"Italienska";"Taliančina";"Italijanščina";"İtalyanca"
"language_jp";"Японски";"日语";"Japonština";"Japanisch";"Japanese";"Japansk";"Japanese";"Japonés";"japani";"Japonais";"Ιαπωνικά";"Japanski";"japán";"Seapáinis";"Giapponese";"日本語";"Japans";"Japansk";"Japoński";"Japonês";"Japoneză";"Јапански";"Японский";"Japanska";"Japončina";"Japonščina";"Japonca"
"language_nl";"Холандски";"荷兰语";"Nizozemština";"Niederländisch";"Dutch";"Hollandsk";"Dutch";"Dutch";"hollanti";"Dutch";"Ολλανδικά";"Nizozemski";"Holland";"Ísiltíreach";"Dutch";"オランダ語";"Nederlands";"Nederlandsk";"Holenderski";"Neerlandês";"Olandeză";"Холандски";"Нидерландский";"Nederländska";"Holandčina";"Nizozemščina";"Dutch"
"language_no";"Норвежки";"挪威语";"Norština";"Norwegisch";"Norwegian";"Norsk";"Norwegian";"Norwegian";"norja";"Norwegian";"Νορβηγικά";"Norveški";"Norvég";"Nua-Aeirgneach";"Norwegian";"ノルウェー語";"Noors";"Norsk";"Norweski";"Norueguês";"Norvegiană";"Норвешки";"Норвежский";"Norska";"Nórčina";"Norveščina";"Norwegian"
"language_pl";"Полски";"波兰语";"Polština";"Polnisch";"Polish";"Polsk";"Polish";"Polish";"puola";"Polish";"Πολωνικά";"Poljski";"Lengyel";"Polainnis";"Polish";"ポーランド語";"Pools";"Polsk";"Polski";"Polaco";"Poloneză";"Пољски";"Польский";"Polska";"Poľština";"Poljščina";"Polish"
"language_pt";"Португалски";"葡萄牙语";"Portugalština";"Portugiesisch";"Portuguese";"Portugisisk";"Portuguese";"Portuguese";"portugali";"Portuguese";"Πορτογαλικά";"Portugalski";"Portugál";"Portaingéilis";"Portuguese";"ポルトガル語";"Portugees";"Portugisisk";"Portugalski";"Português";"Portugheză";"Португалски";"Португальский";"Portugisiska";"Portugalčina";"Portugalščina";"Portuguese"
"language_ro";"Румънски";"罗马尼亚语";"Rumunština";"Rumänisch";"Romanian";"Rumænsk";"Romanian";"Romanian";"romania";"Romanian";"Ρουμανικά";"Rumunjski";"Román";"Rómáinis";"Romanian";"ルーマニア語";"Roemeens";"Rumensk";"Rumuński";"Romeno";"Română";"Румунски";"Румынский";"Rumänska";"Rumunčina";"Romunščina";"Romanian"
"language_rs";"Сръбски";"塞尔维亚语";"Srbština";"Serbisch";"Serbian";"Serbisk";"Serbian";"Serbian";"serbia";"Serbian";"Σερβικά";"Serbijski";"Szerb";"Seirbis";"Serbian";"セルビア語";"Servisch";"Serbisk";"Serbski";"Sérvio";"Sârbă";"Српски";"Сербский";"Serbiska";"Srbčina";"Srbščina";"Serbian"
"language_ru";"Руски";"俄语";"ruština";"Russisch";"Russian";"Russisk";"Russian";"Ruso";"venäjä";"Russe";"Ρωσικά";"Ruski";"Orosz";"Rúiseach";"Russo";"ロシア語";"Russisch";"Russisk";"Rosyjski";"Russo";"Rusă";"Руски";"Русский";"Ryska";"ruština";"ruščina";"Rusça"
"language_se";"Шведски";"瑞典语";"Švédština";"Schwedisch";"Swedish";"Svensk";"Swedish";"Swedish";"ruotsi";"Swedish";"Σουηδικά";"Švedski";"Svéd";"Sualannais";"Swedish";"スウェーデン語";"Zweeds";"Svensk";"Szwedzki";"Sueco";"Suedeză";"Шведски";"Шведский";"Svenska";"Švédčina";"Švedščina";"Swedish"
"language_sk";"Словашки";"斯洛伐克语";"Slovenština";"Slowakisch";"Slovak";"Slovakisk";"Slovak";"Slovak";"slovakia";"Slovak";"Σλοβακικά";"Slovački";"Szlovák";"Slovacais";"Slovak";"スロバキア語";"Slowaaks";"Slovakisk";"Słowacki";"Eslovaco";"Slovacă";"Словачки";"Словацкий";"Slovakiska";"Slovenčina";"Slovaščina";"Slovak"
"language_sl";"Словенски";"斯洛文尼亚语";"Slovinština";"Slowenisch";"Slovenian";"Slovensk";"Slovenian";"Slovenian";"slovenia";"Slovenian";"Σλοβενικά";"Slovenski";"Szlovén";"Slóivéinis";"Slovenian";"スロベニア語";"Sloveens";"Slovensk";"Słoweński";"Esloveno";"Slovenă";"Словеначки";"Словенский";"Slovenska";"Slovinčina";"Sloveneščina";"Slovenian"
"language_tr";"Турски";"土耳其语";"Turečtina";"Türkisch";"Turkish";"Tyrkisk";"Turkish";"Turco";"turkki";"Turkish";"Τουρκικά";"Turski";"Török";"Tuircis";"Turco";"トルコ語";"Turks";"Tyrkisk";"Turecki";"Turco";"Turcă";"Турски";"Турецкий";"Turkiska";"Turečtina";"Turščina";"Türkçe"
"menu_about";"За";"关于";"O aplikaci";"Über";"About";"Om";"About";"Acerca de";"Tietoja";"À propos";"Σχετικά";"O programu";"Rólunk";"Maidir le";"Informazioni";"概要";"Over";"Om";"O programie";"Sobre";"Despre";"О програму";"О программе";"Om";"O programe";"O";"Hakkında"
"menu_help";"Помощ";"帮助";"Nápověda";"Hilfe";"Help";"Hjælp";"Help";"Ayuda";"Ohje";"Aide";"Βοήθεια";"Pomoć";"Súgó";"Cabhair";"Aiuto";"ヘルプ";"Help";"Hjelp";"Pomoc";"Ajuda";"Ajutor";"Помоћ";"Справка";"Hjälp";"Pomoc";"Pomoč";"Yardım"
"new_project_hint";"Нов проект...";"新建项目...";"Nový projekt...";"Neues Projekt...";"New Project...";"Nyt projekt...";"New Project...";"Nuevo proyecto...";"Uusi projekti...";"Nouveau projet...";"Νέο έργο...";"Novi projekt...";"Új projekt...";"Tionscadal nua...";"Nuovo progetto...";"新しいプロジェクト...";"Nieuw project...";"Nytt prosjekt...";"Nowy projekt...";"Novo projeto...";"Proiect nou...";"Нови пројекат...";"Новый проект...";"Nytt projekt...";"Nový projekt...";"Nov projekt...";"Yeni proje..."
"ok";"ОК";"确定";"OK";"Ok";"OK";"Ok";"OK";"Aceptar";"Ok";"OK";"Εντάξει";"OK";"Ok";"OK";"Ok";"OK";"Ok";"Ok";"OK";"Ok";"Ok";"У реду";"ОК";"Ok";"OK";"Ok";"Tamam"
"search";"Търсене";"搜索";"Hledat";"Suchen";"Search";"Søg";"Search";"Buscar";"Hae";"Rechercher";"Αναζήτηση";"Pretraži";"Keresés";"Cuardaigh";"Cerca";"検索";"Zoeken";"Søk";"Wyszukaj";"Pesquisar";"Căutare";"Претрага";"Поиск";"Sök";"Hľadať";"Iskanje";"Ara"
"search_hint";"Търсене...";"搜索...";"Hledat...";"Suchen...";"Search...";"Søg...";"Search...";"Buscar...";"Hae...";"Rechercher...";"Αναζήτηση...";"Pretraži...";"Keresés...";"Cuardaigh...";"Cerca...";"検索中...";"Zoeken...";"Søk...";"Wyszukaj...";"Pesquisar...";"Căutare...";"Претрага...";"Поиск...";"Sök...";"Hľadať...";"Iskanje...";"Ara..."
"show_details_hint";"Показване на подробности...";"查看详情...";"Zobrazit podrobnosti...";"Details anzeigen...";"Show Details...";"Vis detaljer...";"Show Details...";"Mostrar detalles...";"Näytä tiedot...";"Afficher les détails...";"Εμφάνιση λεπτομερειών...";"Prikaži detalje...";"Részletek megjelenítése...";"Taispeáin sonraí...";"Mostra dettagli...";"詳細を表示...";"Details weergeven...";"Vis detaljer...";"Pokaż szczegóły...";"Mostrar detalhes...";"Afișează detalii...";"Прикажи детаље...";"Показать детали...";"Visa detaljer...";"Zobraziť podrobnosti...";"Pokaži podrobnosti...";"Ayrıntıları göster..."
"stderr";"Извеждане на грешки";"错误输出";"Výpis chyb";"Fehlerausgabe";"Error Output";"Fejlmeddelelse";"Error Output";"Salida de errores";"Virheilmoitus";"Message d'erreur";"Εμφάνιση σφαλμάτων";"Izlazna poruka o pogrešci";"Hibajelentés";"Aschur earráide";"Output errori";"エラー出力";"Foutmelding";"Feilmelding";"Wynik błędu";"Saída de erros";"Afișare erori";"Излаз грешака";"Вывод ошибок";"Felmeddelande";"Výpis chýb";"Prikaz napak";"Hata Çıktısı"
"stdout";"Извеждане";"输出";"Výstup";"Ausgabe";"Output";"Udskrift";"Output";"Salida";"Tulostus";"Sortie";"Εμφάνιση";"Izlazna poruka";"Kimenet";"Aschur";"Output";"出力";"Uitvoer";"Utdata";"Wynik";"Saída";"Afișare";"Излаз";"Вывод";"Utmatning";"Výstup";"Izpis";"Çıktı"
"tab_airplanes";"Самолети";"飞机";"Letadla";"Flugzeuge";"Aircraft";"Fly";"Aircraft";"Aviones";"Lentokoneet";"Avions";"Αεροσκάφη";"Zrakoplovi";"Repülőgépek";"Aerárthach";"Aerei";"航空機";"Vliegtuigen";"Fly";"Samoloty";"Aeronaves";"Avioane";"Авион";"Самолеты";"Flygplan";"Lietadlá";"Letala";"Uçaklar"
"tab_projects";"Проекти";"项目";"Projekty";"Projekte";"Projects";"Projekter";"Projects";"Proyectos";"Projektit";"Projets";"Έργα";"Projekti";"Projektek";"Tionscadail";"Progetti";"プロジェクト";"Projecten";"Prosjekter";"Projekty";"Projetos";"Proiecte";"Пројекти";"Проекты";"Projekt";"Projekty";"Projekti";"Projeler"
"title_delete";"Изтриване на елемент";"删除元素";"Odstranit prvek";"Element löschen";"Delete Element";"Slet element";"Delete Element";"Eliminar elemento";"Poista elementti";"Supprimer l'élément";"Διαγραφή στοιχείου";"Izbriši element";"Elem törlése";"Scrios eilimint";"Elimina elemento";"要素を削除";"Element verwijderen";"Slett element";"Usuń element";"Apagar elemento";"Șterge element";"Избриши елемент";"Удалить элемент";"Ta bort element";"Odstrániť prvok";"Izbriši element";"Öğeyi sil"
"title_info";"Информация";"信息";"Info";"Info";"Info";"Info";"Info";"Información";"Info";"Info";"Πληροφορίες";"Informacije";"Info";"Faisnéis";"Info";"情報";"Info";"Info";"Informacje";"Informações";"Info";"Инфо";"Информация";"Info";"Info";"Info";"Bilgi"
